"title","asin","brand","stars","reviewsCount","thumbnailImage","breadCrumbs","description","price","price/currency","price/value","url"
"GOQOTOMO Flower Heating Pad for Back Pain Relief- 12"" x 24""12 Heat Levels, 8 Timers Stay on, Machine Washable -F1224","B09G6H2L72","GOQO TOMO","4.4","161","https://images-na.ssl-images-amazon.com/images/W/WEBP_402378-T1/images/I/71E8cf0V2RL.__AC_SX300_SY300_QL70_FMwebp_.jpg","Health & Household › Health Care › OTC Medications & Treatments › Pain Relievers › Hot & Cold Therapies › Heating Pads",,,,,"https://www.amazon.com/dp/B09G6H2L72"
"Heating Pad for Back Pain and Cramps 12x24 Inch, Relief, Electric Heat Pad for Neck and Shoulders, Auto Shut Off, Portable Ultra Soft with 4 Temperature Settings","B09GXW297S","VEOHAUT","4.4","531","https://m.media-amazon.com/images/I/61oET+m-F9L._AC_SY300_SX300_.jpg","Health & Household › Health Care › OTC Medications & Treatments › Pain Relievers › Hot & Cold Therapies › Heating Pads",,,,,"https://www.amazon.com/dp/B09GXW297S"
"UTK Far Infrared Natural Jade and Tourmaline Heating Pad for Back Pain and Cramps Relief, Small Pro (23.5”X16”), Smart Controller with Memory Function, Auto Shut Off and Travel Bag Included","B073Z72FFY","UTK","4.5","2190","https://images-na.ssl-images-amazon.com/images/W/WEBP_402378-T2/images/I/81drq-Xeo5L.__AC_SX300_SY300_QL70_FMwebp_.jpg","Health & Household › Health Care › OTC Medications & Treatments › Pain Relievers › Hot & Cold Therapies › Heating Pads",,,"$","219","https://www.amazon.com/dp/B073Z72FFY"
"Renpho Electric Heating Pad for Back Neck Shoulder Foot, 12""x24'' Ultra-Soft Large Heat Pads for Cramps, Fast Heated with 10 Temperature Settings, Auto Shut Off, Machine Washable, ETL Certified-Red","B08XX5WT64","RENPHO","4.4","909","https://images-na.ssl-images-amazon.com/images/I/71mza70HysL.__AC_SX300_SY300_QL70_FMwebp_.jpg","Health & Household › Health Care › OTC Medications & Treatments › Pain Relievers › Hot & Cold Therapies › Heating Pads",,,,,"https://www.amazon.com/dp/B08XX5WT64"
"GOQOTOMO Large Electric Heating Pad for Back Pain and Cramps Relief-12""x24"" with 12 Heat Settings | Stay on | 8 Timers, Heat Pad for Shoulders and Neck, Washable-GW01","B09N73ZJ6X","GOQO TOMO","4.4","120","https://images-na.ssl-images-amazon.com/images/W/WEBP_402378-T1/images/I/81irZL3bNqL.__AC_SX300_SY300_QL70_FMwebp_.jpg","Health & Household › Health Care › OTC Medications & Treatments › Pain Relievers › Hot & Cold Therapies › Heating Pads",,,,,"https://www.amazon.com/dp/B09N73ZJ6X"
"Menstrual Heating Pad, Heating Pad for Back Pain with 3 Heat Levels and 3 Vibration Massage Modes, Portable Electric Fast Heating Belly Wrap Belt,Back or Belly Pain Relief for Women and Girl(Pink)","B08LMT1189","voligo","4.2","1881","https://m.media-amazon.com/images/I/41xHbyDPd+L._AC_SX300_SY300_.jpg","Health & Household › Health Care › OTC Medications & Treatments › Pain Relievers › Hot & Cold Therapies › Heating Pads",,,"$","23.09","https://www.amazon.com/dp/B08LMT1189"
"Pure Enrichment® PureRelief™ XXL (20"" x 24"") Electric Heating Pad for Back Pain and Cramps - 6 InstaHeat™ Settings, Machine Washable, Soft Microplush, 2-Hour Auto Shut-Off, & Storage Bag (Gray)","B075K1GMJ6","Pure Enrichment","4.6","14462","https://images-na.ssl-images-amazon.com/images/I/91eIK49PdXL.__AC_SX300_SY300_QL70_FMwebp_.jpg","Health & Household › Health Care › OTC Medications & Treatments › Pain Relievers › Hot & Cold Therapies › Heating Pads",,,"$","49.99","https://www.amazon.com/dp/B075K1GMJ6"
"Sunbeam Heating Pad for Back, Neck, and Shoulder Pain Relief with Auto Shut Off and 6 Heat Settings, Extra Large 12 x 24"", Green","B005NZ66KU","Sunbeam","4.4","26466","https://images-na.ssl-images-amazon.com/images/I/91D9Zxu72eL.__AC_SX300_SY300_QL70_FMwebp_.jpg","Health & Household › Health Care › OTC Medications & Treatments › Pain Relievers › Hot & Cold Therapies › Heating Pads","Help arthritic pain and everyday muscle aches fade away with this Sunbeam King-Size Heating Pad with Digital LED Controller. The pad heats up in 30 seconds for super-fast heat therapy. The 6 heat settings let you customize the level of intensity you need to begin feeling better. The pad also features a convenient select-hour auto-off setting for peace of mind, and an extra-long power cord so you can relax in your favorite spot. This ultra-soft pad delivers extra comfort.",,"$","29.99","https://www.amazon.com/dp/B005NZ66KU"
"Heating Pad for Back Pain Relief- Ultra Soft Sherpa Heating Pad，XL King Size 12"" x 24"" , with Moist & Dry Heat Options，12 Heat Levels & 1-24H Auto Off for Neck, Shoulder, & Sore Muscle Relief","B09NLMH7M8","ZXU","4.5","40","https://images-na.ssl-images-amazon.com/images/W/WEBP_402378-T2/images/I/71MUCmHqKeL.__AC_SX300_SY300_QL70_FMwebp_.jpg","Health & Household › Health Care › OTC Medications & Treatments › Pain Relievers › Hot & Cold Therapies › Heating Pads",,,"$","29.99","https://www.amazon.com/dp/B09NLMH7M8"
"Ambershine 45cmx85cm XXXXL King Size Heating Pad with Fast-Heating Technology&6 Temperature Settings, Flannel Electric Heating Pad/Pain Relief for Back/Neck/Shoulders/Abdomen/Legs (Dark Gray)","B07RZRGCPB","Ambershine","4.5","11985","https://images-na.ssl-images-amazon.com/images/I/61WUSY1GuJS.__AC_SY300_SX300_QL70_FMwebp_.jpg","Health & Household › Health Care › OTC Medications & Treatments › Pain Relievers › Hot & Cold Therapies › Heating Pads","Ambershine XXXXL size heating pad offers doublewide therapeutic coverage for sore muscles of your back, legs, and shoulders. With nearly twice the surface area of standard heating pads, it is ideal for wrapping around large areas to relieve arthritic pain, muscle ache and stiff joints. Use for just 20 minutes daily (or as recommended by your doctor) to increase blood flow and reduce pain and muscle spasms. Product Specifications Material: Ultra Soft Flannel Material Modes: 6 Power Heat Settings Size: 45cm x 85cm, 3M Extra Long Cord Power Supply: AC 120V, 60Hz, 100W Using Time: 2-HOUR Automatic Power Frequently Asked Questions: 1. What temperature does this product reach? -Maximum temperature is about 176 °F (80 °C) when set to “6”. Temperature varies by heat setting; you may need to use a lower heat setting depending on the specific application and your personal preference. 2. How to set the automatic shutdown? -All our heating pad is automatically shut off and you do not need to take any action. Note: Don't sit or put the pad underneath body. Don't sharp fold the pad while using. Please read the description carefully. Our heating pad is used for increase blood flow and reduce pain and muscle spasms. It really differs from normal heating blanket which aims to warm. It has its own heating range and special use methods. Please be clear about that you surely need a heating pad for health care rather than a heating blanket for warm before your purchase.",,"$","39.99","https://www.amazon.com/dp/B07RZRGCPB"
"haoxuandianzi Heating Electric Pad for Back, Shoulders, Abdomen, Legs, Arms, Electric Fast Heat Pad with Heat Settings, Auto Shut Off (12"" x 24''), Silver Gray","B07YJBJSHV","Insta","4.5","7775","https://images-na.ssl-images-amazon.com/images/W/WEBP_402378-T1/images/I/61MrHSq8v5L.__AC_SX300_SY300_QL70_FMwebp_.jpg","Health & Household › Health Care › OTC Medications & Treatments › Pain Relievers › Hot & Cold Therapies › Heating Pads",,,"$","26.99","https://www.amazon.com/dp/B07YJBJSHV"
"Weighted Heating Pad for Neck and Shoulders, Comfytemp 2.2lb Large Electric Heated Neck Shoulder Wrap for Pain Relief - 9 Heat Settings, 11 Auto-Off with Countdown, Stay on, Backlight - 19""x22""","B08RNBCH6K","Comfytemp","4.3","8557","https://images-na.ssl-images-amazon.com/images/I/71NSG6g8VyS.__AC_SX300_SY300_QL70_FMwebp_.jpg","Health & Household › Health Care › OTC Medications & Treatments › Pain Relievers › Hot & Cold Therapies › Heating Pads",,,"$","45.99","https://www.amazon.com/dp/B08RNBCH6K"
"QALTGC Heating Pad for Back Pain and Cramp Relief Extra Large 12"" x 24"" Size Electric Heat Pad 10 Temperature Level 9Timer Settings Auto Shut Off Moist and Dry Therapy for Shoulder Neck Soft Washable","B08F24FVG9","Qaltgc","4.5","6423","https://images-na.ssl-images-amazon.com/images/W/WEBP_402378-T1/images/I/8186rXp2-sL.__AC_SX300_SY300_QL70_FMwebp_.jpg","Health & Household › Health Care › OTC Medications & Treatments › Pain Relievers › Hot & Cold Therapies › Heating Pads",,,"$","39.99","https://www.amazon.com/dp/B08F24FVG9"
"Electric Heating pad for Back/Shoulder/Neck/Knee/Leg Pain, Cramps and Arthritis Relief, 6 Fast Heating Settings, Auto-Off, Machine Washable, Moist Dry Heat Options, Extra Large 12""x24""","B09DNXFCLM","BESIGILA","4.7","1798","https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/81rAOf-+RWL._AC_SY300_SX300_.jpg","Health & Household › Health Care › OTC Medications & Treatments › Pain Relievers › Hot & Cold Therapies › Heating Pads",,,"$","24.64","https://www.amazon.com/dp/B09DNXFCLM"
"Heating Pad for Cramps, Comfytemp Electric Heating Pad for Back Pain Relief, Small Heating Pad with 3 Heat Settings, 2H Auto Shut Off, Stay On, for Neck and Shoulders, 12 x 24 in, Machine Washable","B09985XF18","Comfytemp","4.4","2537","https://images-na.ssl-images-amazon.com/images/W/WEBP_402378-T2/images/I/71MBhezEerL.__AC_SX300_SY300_QL70_FMwebp_.jpg","Health & Household › Health Care › OTC Medications & Treatments › Pain Relievers › Hot & Cold Therapies › Heating Pads",,,"$","16.99","https://www.amazon.com/dp/B09985XF18"
"Boncare LCD Digital Control Extra Large Heating Pads for Back Pain Relief and Cramps with Auto Shut Off Fomentera de Calor Super Soft Moist / Dry Heat 12” x 24” (Dark Gray)","B07HNZYGPZ","Boncare","4.4","1539","https://images-na.ssl-images-amazon.com/images/I/81nO4ybCUIL.__AC_SX300_SY300_QL70_ML2_.jpg","Health & Household › Health Care › OTC Medications & Treatments › Pain Relievers › Hot & Cold Therapies › Heating Pads",,,"$","15.97","https://www.amazon.com/dp/B07HNZYGPZ"
"ALLJOY Electric Heating Pad for Back Pain and Cramps Relief, 12""x24"" Extra Large Soft Heat Pad - Fast Heating Technology - Auto Shut Off - Moist & Dry Heat Therapy Options, Blue","B097DBX866","ALLJOY","4.4","438","https://images-na.ssl-images-amazon.com/images/I/61-jy0CcyIL.__AC_SX300_SY300_QL70_FMwebp_.jpg","Health & Household › Health Care › OTC Medications & Treatments › Pain Relievers › Hot & Cold Therapies › Heating Pads",,,"$","39.99","https://www.amazon.com/dp/B097DBX866"
"Heating Pad - Electric Heating Pads - Hot Heated Pad for Back Pain Muscle Pain Relieve - Dry & Moist Heat Therapy Option - Auto Shut Off Function (Light Gray, 12"" x 24"")","B09F3F5KXH","Deepsoon","4.6","1544","https://images-na.ssl-images-amazon.com/images/W/WEBP_402378-T1/images/I/71tzpezkWnL.__AC_SX300_SY300_QL70_FMwebp_.jpg","Health & Household › Health Care › OTC Medications & Treatments › Pain Relievers › Hot & Cold Therapies › Heating Pads",,,"$","27.99","https://www.amazon.com/dp/B09F3F5KXH"
"GENIANI Extra Large Electric Heating Pad for Back Pain and Cramps Relief - Auto Shut Off - Soft Heat Pad for Moist & Dry Therapy - Heat Patch (Aqua Blue)","B08MV3Z3GK","GENIANI","4.4","12309","https://images-na.ssl-images-amazon.com/images/W/WEBP_402378-T1/images/I/91zmJoVwrWL.__AC_SX300_SY300_QL70_FMwebp_.jpg","Health & Household › Health Care › OTC Medications & Treatments › Pain Relievers › Hot & Cold Therapies › Heat Patches",,,"$","34.97","https://www.amazon.com/dp/B08MV3Z3GK"
"Pure Enrichment® PureRelief™ Lumbar & Abdominal Heating Pad - 4 Heat Settings, Adjustable Belt, Hot/Cold Gel Pack, and Storage Bag - Ideal for Back Pain and Abdominal Cramps","B07HXH6WQF","Pure Enrichment","4.5","1264","https://images-na.ssl-images-amazon.com/images/W/WEBP_402378-T1/images/I/91vui8xeKML.__AC_SX300_SY300_QL70_FMwebp_.jpg","Health & Household › Health Care › OTC Medications & Treatments › Pain Relievers › Hot & Cold Therapies › Heating Pads",,,"$","49.99","https://www.amazon.com/dp/B07HXH6WQF"
"Sunbeam Heating Pad for Pain Relief | Standard Size Ultra-Soft, 3 Heat Settings with Auto-Off and Straps | Beige, 12-Inch x 15-Inch","B007S074OU","Sunbeam","4.1","1457","https://images-na.ssl-images-amazon.com/images/I/81BmhfzC7YL.__AC_SX300_SY300_QL70_ML2_.jpg","Health & Household › Health Care › OTC Medications & Treatments › Pain Relievers › Hot & Cold Therapies › Heating Pads","Help everyday muscle aches and arthritic pain fade away with this Sunbeam Ultra-Soft Heating Pad. This extra-soft electric heating pad provides cozy, soothing warmth; convenient tie-on straps let you apply direct heat exactly where you need it. This heat pad has a slide controller that offers 3 variable heat settings and is specially designed for arthritis sufferers to use easily. An extra-long, 9-foot cord gives you the flexibility to move around and relax with this hot pad where you want to at home or at work.",,"$","33.86","https://www.amazon.com/dp/B007S074OU"
"Portable Cordless Heating Pad, Electric Waist Belt Device, Fast Heating Pad with 3 Heat Levels and 3 Massage Modes, Back or Belly Heating Pad for Women and Girl","B08DR45JTX","Yeamon","4.3","6193","https://images-na.ssl-images-amazon.com/images/W/WEBP_402378-T1/images/I/51y1rqUuYeS.__AC_SX300_SY300_QL70_FMwebp_.jpg","Health & Household › Health Care › OTC Medications & Treatments › Pain Relievers › Hot & Cold Therapies › Heating Pads",,,"$","49.99","https://www.amazon.com/dp/B08DR45JTX"
"Electric Heated Foot Warmers for Men and Women Foot Heating Pad Electric with Fast Heating Technology Heating Pad Feet Warmer Auto Shut Off with 3 Temperature Setting by Gintao 22×20 inches Gray","B07KKC86CY","Gintao","4.3","3835","https://images-na.ssl-images-amazon.com/images/W/WEBP_402378-T2/images/I/719MkIKA97L.__AC_SX300_SY300_QL70_FMwebp_.jpg","Health & Household › Health Care › OTC Medications & Treatments › Pain Relievers › Hot & Cold Therapies › Heating Pads",,,"$","39.99","https://www.amazon.com/dp/B07KKC86CY"
"GENIANI Extra Large Electric Heating Pad for Back Pain and Cramps Relief - Auto Shut Off - Soft Heat Pad 12""x24"" for Moist & Dry Therapy (Tabby Gray)","B07T85CNX2","GENIANI","4.4","20083","https://images-na.ssl-images-amazon.com/images/W/WEBP_402378-T1/images/I/A1KmaBubGML.__AC_SX300_SY300_QL70_FMwebp_.jpg","Health & Household › Health Care › OTC Medications & Treatments › Pain Relievers › Hot & Cold Therapies › Heating Pads",,,,,"https://www.amazon.com/dp/B07T85CNX2"
"Sunbeam Heating Pad for Back, Neck, and Shoulder Pain Relief with Sponge for Moist Heating Option, 12 x 15"", Blue","B00075M1T6","Sunbeam","4.5","34035","https://images-na.ssl-images-amazon.com/images/I/61XThttj0hL.__AC_SX300_SY300_QL70_FMwebp_.jpg","Health & Household › Health Care › OTC Medications & Treatments › Pain Relievers › Hot & Cold Therapies › Heating Pads",,,"$","24.99","https://www.amazon.com/dp/B00075M1T6"
"Heating Pad XL King Size by ZXU - Extra Large 12” x 24” - Ultra-Soft Heated Pad with Moist & Dry Heat Therapy Options & Auto Shut-Off - for Neck, Back, Shoulder, Menstrual Pain & Sore Muscle Relief","B08NTD1GB3","ZXU","4.6","501","https://images-na.ssl-images-amazon.com/images/I/71wIXkfs8lL.__AC_SX300_SY300_QL70_FMwebp_.jpg","Health & Household › Health Care › OTC Medications & Treatments › Pain Relievers › Hot & Cold Therapies › Heating Pads",,,"$","29.99","https://www.amazon.com/dp/B08NTD1GB3"
"Pure Enrichment® PureRelief™ XL Heating Pad for Back, Neck, and Shoulder Pain Relief - 6 InstaHeat™ Settings with LCD Controller, Auto Shut-Off, Machine-Washable,12"" x 24"" (Zen Green)","B09B4HGG5M","Pure Enrichment","4.5","59752","https://images-na.ssl-images-amazon.com/images/W/WEBP_402378-T1/images/I/912SWuv9VIL.__AC_SX300_SY300_QL70_FMwebp_.jpg","Health & Household › Health Care › OTC Medications & Treatments › Pain Relievers › Hot & Cold Therapies › Heating Pads",,,"$","39.99","https://www.amazon.com/dp/B09B4HGG5M"
"Cure Choice XL Electric Heating Pad for Back Pain Relief, Ultra Soft 24""x33"" Heating pad for Muscle Cramps – Heated Pad with Adjustable Temperature Settings Safe Auto Shut.(Blue)","B0822YD1BH","CURE CHOICE","4.6","3650","https://images-na.ssl-images-amazon.com/images/I/61cMWcY-bVL.__AC_SX300_SY300_QL70_FMwebp_.jpg","Health & Household › Health Care › OTC Medications & Treatments › Pain Relievers › Hot & Cold Therapies › Heating Pads",,,"$","29.95","https://www.amazon.com/dp/B0822YD1BH"
"Pure Enrichment® PureRelief™ XL Heating Pad for Back, Neck, and Shoulder Pain Relief - 6 InstaHeat™ Settings with LCD Controller, Auto Shut-Off, Machine-Washable,12"" x 24"" (Gray)","B01KVYTV86","Pure Enrichment","4.5","59752","https://images-na.ssl-images-amazon.com/images/I/91d3mYfgfTL.__AC_SX300_SY300_QL70_FMwebp_.jpg","Health & Household › Health Care › OTC Medications & Treatments › Pain Relievers › Hot & Cold Therapies › Heating Pads",,,"$","39.99","https://www.amazon.com/dp/B01KVYTV86"
"GOQOTOMO Electric Heated Pad for Back/Waist/Abdomen/Sh-oulder/Neck Pain and Cramps Relief - Moist and Dry Heat Therapy with Auto-Off Hot Heating Pad by-Rainbow","B08NV3MXCC","GOQOTOMO","4.6","444","https://images-na.ssl-images-amazon.com/images/W/WEBP_402378-T2/images/I/61N96O-4eeL.__AC_SX300_SY300_QL70_FMwebp_.jpg","Health & Household › Health Care › OTC Medications & Treatments › Pain Relievers › Hot & Cold Therapies › Heating Pads",,,"$","22.99","https://www.amazon.com/dp/B08NV3MXCC"
"Heating Pad for Neck and Shoulders, EVAJOY 35” x 27” Extra Large Back Pain Relief Electric Heating Wrap, Dry & Moist Heat Therapy, 6 Temperature Settings, Machine Washable, 2 Hours Auto Shut-Off","B09NKZFVTH","Evajoy","4.4","157","https://images-na.ssl-images-amazon.com/images/W/WEBP_402378-T2/images/I/811hnI6qDFL.__AC_SX300_SY300_QL70_FMwebp_.jpg","Health & Household › Health Care › OTC Medications & Treatments › Pain Relievers › Hot & Cold Therapies › Heating Pads"," Technical Specifications:Power Supply: AC 120V, 60Hz, Max 120WMaterial: 100% Polyester, Double-Sided Microplush FabricHeating Pad Size: 35” x 27” Color: Dark BluePower Cord Length: 9.18ftWhat’s in the Box:1 x EVAJOY Electric Heating Pad1 x Controller with Power Cord1 x User Guide",,,,"https://www.amazon.com/dp/B09NKZFVTH"
"Comfytemp Weighted Heating Pad for Back Pain Relief, 22""x33"" XXL Large Electric Heating Pad for Neck and Shoulders with 3 Heat Settings, 2H Auto-Off, Back Heated Wrap for Cramps - Washable","B093DLVT6W","Comfytemp","4.3","1474","https://images-na.ssl-images-amazon.com/images/I/71E9mWmgnFL.__AC_SX300_SY300_QL70_FMwebp_.jpg","Health & Household › Health Care › OTC Medications & Treatments › Pain Relievers › Hot & Cold Therapies › Heating Pads",,,"$","31.99","https://www.amazon.com/dp/B093DLVT6W"
"Sunbeam Cordless Heating Pad, Portable and Rechargeable for Back, Shoulder, Arm, and Leg Pain Relief, 9.5 x 12"", Slate Grey","B08HR4RT4P","Sunbeam","4.3","1977","https://images-na.ssl-images-amazon.com/images/W/WEBP_402378-T2/images/I/91fYnwY82NL.__AC_SX300_SY300_QL70_FMwebp_.jpg","Health & Household › Health Care › OTC Medications & Treatments › Pain Relievers › Hot & Cold Therapies › Heating Pads","The Sunbeam GoHeat Cordless Heating Pad delivers portable, soothing heat therapy for pain relief anywhere and anytime you need it. The 9.5 x 12-inch cordless heating pad provides targeted, high-level heat therapy to the back, arms, legs, and shoulders—whether you're at home or on the go. Just slip the battery unit/heating pad controller into the pad's side pocket, adjust the integrated strap to fit, and enjoy hands-free pain relief. This portable heating pad uses a convenient, rechargeable lithium-ion battery that runs for up to 4 hours on a single charge on Low setting. The pad heats up fast so you can feel the heat in 30 seconds and offers 3 heat settings for customized treatment. The entire flexible, Micromink pad and adjustable strap are fully machine washable for easy care—just remove the battery.",,"$","79.99","https://www.amazon.com/dp/B08HR4RT4P"
"[5 Year Warranty] WOOMER Electric Heating Pad for Back Pain & Cramps Relief, 33""x17"" Extra Large, Heat Pad with Multi-Color Option, Moist Heat Therapy Feature, Auto Shut-Off, Power Cords Storage Belt","B08T8VGW3N","WOOMER","4.4","1817","https://images-na.ssl-images-amazon.com/images/I/817BM-0Iv8L.__AC_SX300_SY300_QL70_FMwebp_.jpg","Health & Household › Health Care › OTC Medications & Treatments › Pain Relievers › Hot & Cold Therapies › Heating Pads",,,,,"https://www.amazon.com/dp/B08T8VGW3N"
"RENPHO Weighted Heating Pad for Back Pain Relief, 24""x33'' Electric Heat Pads for Neck and Shoulders, Fast-Heating, Auto Shut Off, Gifts for Women, ETL Certified, Gray","B089D3Q24T","RENPHO","4.4","6779","https://images-na.ssl-images-amazon.com/images/I/71RjupEhLiL.__AC_SX300_SY300_QL70_ML2_.jpg","Health & Household › Health Care › OTC Medications & Treatments › Pain Relievers › Hot & Cold Therapies › Heating Pads",,,"$","59.99","https://www.amazon.com/dp/B089D3Q24T"
